sample,fastq_1,fastq_2,condition,library_prep,seq_protocol,subject_id,batch,strandedness
CUDI62,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L02-CUDI62/JZ26058704-R-PL260320-CN002697-S01-R01-L02-CUDI62_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L02-CUDI62/JZ26058704-R-PL260320-CN002697-S01-R01-L02-CUDI62_combined_R2.fastq.gz,Negative_control,rRNA_depletion,stranded,CN002697_R01,batch1,auto

# ── L03: polyA选择 + 普通RNA-seq ─────────────────────────────────────────────────
CUDI63,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R01-L03-CUDI63/JZ26058704-R-PL260320-CN002696-S01-R01-L03-CUDI63_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R01-L03-CUDI63/JZ26058704-R-PL260320-CN002696-S01-R01-L03-CUDI63_combined_R2.fastq.gz,Human_Lung,polyA_selection,unstranded,CN002696_R01,batch1,unstranded
CUDI64,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R02-L03-CUDI64/JZ26058704-R-PL260320-CN002696-S01-R02-L03-CUDI64_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R02-L03-CUDI64/JZ26058704-R-PL260320-CN002696-S01-R02-L03-CUDI64_combined_R2.fastq.gz,Human_Lung,polyA_selection,unstranded,CN002696_R02,batch1,unstranded
CUDI49,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L03-CUDI49/JZ26058704-R-PL260320-CN002697-S01-R01-L03-CUDI49_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L03-CUDI49/JZ26058704-R-PL260320-CN002697-S01-R01-L03-CUDI49_combined_R2.fastq.gz,Negative_control,polyA_selection,unstranded,CN002697_R01,batch1,unstranded

# ── L04: polyA选择 + 链特RNA-seq ─────────────────────────────────────────────────
CUDI50,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R01-L04-CUDI50/JZ26058704-R-PL260320-CN002696-S01-R01-L04-CUDI50_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R01-L04-CUDI50/JZ26058704-R-PL260320-CN002696-S01-R01-L04-CUDI50_combined_R2.fastq.gz,Human_Lung,polyA_selection,stranded,CN002696_R01,batch1,auto
CUDI51,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R02-L04-CUDI51/JZ26058704-R-PL260320-CN002696-S01-R02-L04-CUDI51_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R02-L04-CUDI51/JZ26058704-R-PL260320-CN002696-S01-R02-L04-CUDI51_combined_R2.fastq.gz,Human_Lung,polyA_selection,stranded,CN002696_R02,batch1,auto
CUDI52,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L04-CUDI52/JZ26058704-R-PL260320-CN002697-S01-R01-L04-CUDI52_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L04-CUDI52/JZ26058704-R-PL260320-CN002697-S01-R01-L04-CUDI52_combined_R2.fastq.gz,Negative_control,polyA_selection,stranded,CN002697_R01,batch1,auto
